"You have regular items in your cart, please complete your order to add a Pre-Order item to your carts","You have regular items in your cart, please complete your order to add a Pre-Order item to your carts"
"You have Pre-Order items in your cart, please complete your order for adding other items","You have Pre-Order items in your cart, please complete your order for adding other items"
AjaxCategoryCatalog,AjaxCategoryCatalog
"Cached category pages of ajax infinte scroll","Cached category pages of ajax infinte scroll"
