"Additional Product Attribute","Additional Product Attribute"
"Payment Method","Payment Method"
"Additional Payment Method","Additional Payment Method"
"Is Rewards Points used","Is Rewards Points used"
"Coupon Used","Coupon Used"
"Coupon Code","Coupon Code"
No,No
Yes,Yes
"Conditions Combination","Conditions Combination"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Conditions combination","Conditions combination"
"Cart Attribute","Cart Attribute"
Customer,Customer
"Last 7-days Clicks","Last 7-days Clicks"
"Last 7-days Orders","Last 7-days Orders"
"Last 7-days Revenue","Last 7-days Revenue"
"Is Referee","Is Referee"
"Is Referral","Is Referral"
Email,Email
Group,Group
"Lifetime Sales","Lifetime Sales"
"Lifetime Spent Points","Lifetime Spent Points"
"Number of Orders","Number of Orders"
"Is subscriber of newsletter","Is subscriber of newsletter"
"Number of reviews","Number of reviews"
"Number of referred friends signups","Number of referred friends signups"
"Number of referred friends orders","Number of referred friends orders"
"Sum of referred friends orders","Sum of referred friends orders"
"Number of referrals who ordered at least once","Number of referrals who ordered at least once"
"Not registered","Not registered"
Subtotal,Subtotal
"Attribute Set","Attribute Set"
Quantity,Quantity
"Open Chooser","Open Chooser"
"Referred: Group","Referred: Group"
"Referred: Lifetime Sales","Referred: Lifetime Sales"
"Referred: Number of Orders","Referred: Number of Orders"
"Referred: Is subscriber of newsletter","Referred: Is subscriber of newsletter"
"Referred: Number of reviews","Referred: Number of reviews"
Reasons,Reasons
Conditions,Conditions
Resolutions,Resolutions
Statuses,Statuses
"-- Please Select --","-- Please Select --"
"This tier is assign to %1 customer(s). Please reassign customer(s) to other tier.","This tier is assign to %1 customer(s). Please reassign customer(s) to other tier."
"Field 'Spend maximum' can not be less or equal then field 'Spend minimum'","Field 'Spend maximum' can not be less or equal then field 'Spend minimum'"
"Field 'For each spent X points' should be integer","Field 'For each spent X points' should be integer"
"Discount Used","Discount Used"
"Custom Product Attributes","Custom Product Attributes"
"Rewards Discount","Rewards Discount"
today,today
"in 1 day","in 1 day"
"in %1 %2","in %1 %2"
"in %1 days","in %1 days"
"1 day ago","1 day ago"
"%1 %2 ago","%1 %2 ago"
"%1 days ago","%1 days ago"
"Cannot delete rule with id %1","Cannot delete rule with id %1"
"Cannot delete tier with id %1","Cannot delete tier with id %1"
"Cannot delete transaction with id %1","Cannot delete transaction with id %1"
"Unable to find tier for customer ""%1"". Please check tier configuration.","Unable to find tier for customer ""%1"". Please check tier configuration."
"Rewards Refunded","Rewards Refunded"
"Notification Rules' messages","Notification Rules' messages"
Template,Template
"Notification Rule Template","Notification Rule Template"
"Your Transactions","Your Transactions"
"My Reward Points","My Reward Points"
"My Points","My Points"
"Share & Save","Share & Save"
"My Referrals","My Referrals"
"Send notification before points expires (in days)","Send notification before points expires (in days)"
"Cancel the earned points after the order has been refunded","Cancel the earned points after the order has been refunded"
"Restore the points spent after the order has been refunded","Restore the points spent after the order has been refunded"
"Allow to display maximum number of possible points for configurable products.","Allow to display maximum number of possible points for configurable products."
"Send notification before points expires(in days)","Send notification before points expires(in days)"
"In determining tiers, take into account, it only lasts for N days","In determining tiers, take into account, it only lasts for N days"
"Show pending transactions in the customer's account","Show pending transactions in the customer's account"
"Use this option to explain to your customer why the Rewards spending block isn't displaying in checkout","Use this option to explain to your customer why the Rewards spending block isn't displaying in checkout"
"In some configuration, the method 'Apply to items' may have a slight error in calculation","In some configuration, the method 'Apply to items' may have a slight error in calculation"
"For detailed explanation, see the <a href='http://docs.mirasvit.com/module-rewards/current/rules/custom' target='_blank'>documentation</a>","For detailed explanation, see the <a href='http://docs.mirasvit.com/module-rewards/current/rules/custom' target='_blank'>documentation</a>"
"If the theme overrides Magento way of including styles, this option will add extension's styles to the page","If the theme overrides Magento way of including styles, this option will add extension's styles to the page"
"Minimum points number to reach each tier","Minimum points number to reach each tier"
"Delete the record with ID %1","Delete the record with ID %1"
"Are you sure you want to delete the record with ID %1","Are you sure you want to delete the record with ID %1"
History,History
"To subscribe to points expiring and balance update notification click %1","To subscribe to points expiring and balance update notification click %1"
